ID,model_ID,year,price,mileage,tax,mpg,engineSize,transmission_ID,fuel_ID,Brand
22817,25,2019,25799,1000,145,45.59999847,1.5,4,5,Merc
22818,25,2016,38349,22000,300,34.5,4,4,5,Merc
22819,31,2017,21699,31459,145,65.69999695,2,4,1,Merc
22820,25,2019,49499,1000,145,29.10000038,3,4,5,Merc
22821,25,2019,49669,1000,145,29.10000038,3,4,5,Merc
22822,24,2019,24799,3906,145,55.40000153,2,4,1,Merc
22823,31,2019,25899,4997,145,72.40000153,2,4,1,Merc
22824,35,2019,22999,17471,145,67.30000305,2.099999905,4,1,Merc
22825,31,2019,37599,14031,145,48.70000076,3,4,1,Merc
22826,31,2019,37999,11588,145,48.70000076,3,4,1,Merc
22827,31,2019,26399,15189,145,72.40000153,2,4,1,Merc
22828,31,2019,41499,3695,145,33.59999847,3,4,5,Merc
22829,31,2019,25599,12277,145,72.40000153,2,4,1,Merc
22830,25,2019,20399,13793,145,61.40000153,2,4,1,Merc
22831,24,2019,22699,12706,145,45.59999847,1.299999952,4,5,Merc
22832,25,2019,20799,15536,145,61.40000153,2,4,1,Merc
22833,25,2016,24799,30385,30,65.69999695,2.099999905,1,1,Merc
22834,25,2019,27199,3780,145,42.20000076,2,4,5,Merc
22835,31,2017,21299,20852,145,72.40000153,2,4,1,Merc
22836,25,2019,20699,10037,145,64.19999695,2.099999905,4,1,Merc
22837,13,2018,21399,3278,145,53.29999924,1.299999952,4,5,Merc
22838,25,2017,23699,7978,20,67.30000305,2.099999905,4,1,Merc
22839,25,2018,21449,2684,145,44.09999847,1.5,4,5,Merc
22840,31,2017,23599,9012,145,65.69999695,2,4,1,Merc
22841,31,2017,21399,19995,145,72.40000153,2,4,1,Merc
22842,37,2019,32499,9418,145,41.5,2.099999905,4,1,Merc
22843,25,2019,24299,14333,145,61.40000153,2,4,1,Merc
22844,25,2019,25999,14344,145,61.40000153,2,4,1,Merc
22845,25,2018,26189,8069,145,65.69999695,2.099999905,4,1,Merc
22846,25,2019,29799,7621,145,57.70000076,2,1,1,Merc
22847,25,2019,29099,8205,145,57.70000076,2,4,1,Merc
22848,24,2019,22499,8666,145,45.59999847,1.299999952,4,5,Merc
22849,24,2019,22899,9288,145,45.59999847,1.299999952,4,5,Merc
22850,13,2019,21999,1448,145,47.09999847,1.299999952,2,5,Merc
